pattern,prob_feature,occur_feature,log_occur_feature,prob_log_occur,constant,outsideSentence,new_outside,frequency,quote,dash,parenthesis,capital,avg_idf,stop_ratio,first_stop,last_stop,F1.1,F4.1
definitely the,1.2038034690,0.0048387732,0.8895600943,0.0000144307,1,0.2435505443,1.1063992192,23,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0231211151,1.0000000000,1,1,0.0000000000,0.0000000000
us had,3.9907320137,0.0068735936,5.1783590702,0.0000655395,1,0.0984993885,0.1120532263,14,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0100051626,1.0000000000,1,1,0.0000000000,0.0000000000
i liked it,20.8150721100,0.0193781302,12.1427093799,0.0002464416,1,0.2980924080,0.6932494376,16,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0175633014,1.0000000000,1,1,0.0000000000,0.0000000000
the real,4.8397681067,0.0090473382,7.0519627471,0.0001066773,1,0.2509215621,1.1379131715,20,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0215651981,0.5000000000,1,0,0.0000000000,0.0000000000
and that's,6.5042847363,0.0119585905,9.5477159420,0.0001646771,1,0.0000000000,0.0000000000,26,0,0,0,0,0.0162056398,1.0000000000,1,1,0.0000000000,0.0000000000
i love indian food,34.0581950803,0.0445788549,23.9285395655,0.0010979238,1,0.2671222903,0.5046456438,46,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0169578800,0.2500000000,1,0,0.0000000000,0.0000000000
it may,12.1828434572,0.0132340369,10.3078823477,0.0001437610,1,0.2398608758,0.5633875348,17,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0113607105,1.0000000000,1,1,0.0000000000,0.0000000000
would have,52.6613339691,0.0946101009,56.1977191941,0.0026950313,1,0.1131140308,0.1370155174,201,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0098166170,1.0000000000,1,1,0.0000000000,0.0000000000
there that,1.4813863982,0.0038772013,1.3613171268,0.0000159513,1,0.3007920843,0.3852057142,12,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0123780943,1.0000000000,1,1,0.0000000000,0.0000000000
good but the,4.3933412210,0.0080247602,5.3365405163,0.0000976270,1,0.2908734247,0.6259300382,13,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0232833073,1.0000000000,1,1,0.0000000000,0.0000000000
our server was,24.7666513814,0.0325752953,19.7846746966,0.0006188125,1,0.2303182100,0.4415048324,38,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0129241420,0.6666666667,1,1,0.0000000000,0.0000000000
are large,24.8035070056,0.0158650234,11.1231785141,0.0001303367,1,0.0477263710,0.0705203371,12,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0062067223,0.5000000000,1,0,0.0000000000,0.0000000000
with naan,3.8127363127,0.0096696540,7.2072198301,0.0001312846,1,0.2146320840,0.2415540705,29,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0120522885,0.5000000000,1,0,0.0000000000,0.0000000000
most places,110.2578518715,0.0431830497,21.0316581513,0.0003181527,1,0.0327403578,0.0273231690,20,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0032341724,0.5000000000,1,0,0.0000000000,0.0000000000
a friendly,1.8003513825,0.0049355116,2.3519274335,0.0000318223,1,0.2196907258,0.4386378128,16,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0158787072,0.5000000000,1,0,0.0000000000,0.0000000000
am used,122.2128978917,0.0393729268,18.6126462173,0.0002438377,1,0.0000000000,0.0000000000,15,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0029271377,1.0000000000,1,1,0.0000000000,0.0000000000
was tasty,9.8385305361,0.0219670969,17.4119905199,0.0004485486,1,0.2597499852,0.5889005821,58,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0156790260,0.5000000000,1,0,0.0000000000,0.0000000000
for my,7.8967737627,0.0361781565,28.9303600823,0.0013700265,1,0.2290106167,0.2760364670,196,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0163474185,1.0000000000,1,1,0.0000000000,0.0000000000
never been to,24.1966390812,0.0239359180,14.6010656557,0.0003394943,1,0.0933623945,0.2323077682,21,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0119184646,1.0000000000,1,1,0.0000000000,0.0000000000
not too,36.5167819174,0.0601080624,38.9158535508,0.0014238577,1,0.0942984456,0.1021732718,117,0.0000000000,0.0165289256,0.0000000000,0.0000000000,0.0093758597,1.0000000000,1,1,0.0000000000,0.0000000000
was told,9.3408500457,0.0125690295,9.9925283216,0.0001511602,1,0.2155304475,0.8541362914,20,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0146239590,0.5000000000,1,0,0.0000000000,0.0000000000
price for,5.5018505724,0.0086279563,6.8203380134,0.0000922811,1,0.0352894143,0.0563791367,16,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0108404757,0.5000000000,0,1,0.0000000000,0.0000000000
my experience,19.4538633231,0.0246716015,18.0539170431,0.0003714663,1,0.0962721552,0.1783835214,37,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0089744058,0.5000000000,1,0,0.0000000000,0.0000000000
