yellow,48
four,122
friend's,19
hanging,11
clientele,18
straight,34
specially,14
tired,20
elegant,25
second,157
cooking,86
dahl,18
jasmine,12
here,2040
kids,60
k,29
i'd,309
i'm,907
spotty,11
explained,26
brought,250
spoke,11
music,135
therefore,16
until,171
brings,20
glass,97
hole,33
hold,18
example,10
india's,23
foodie,19
organized,12
caution,11
want,478
absolute,28
complaining,15
travel,19
how,489
hot,533
yum,108
cuisine,322
scottsdale,57
wrong,143
types,56
keeps,15
wine,175
welcomed,14
vary,10
fit,30
bringing,24
fix,37
hidden,60
easier,10
addicted,12
bowls,43
we'd,50
rd,27
re,20
assured,10
enormous,13
ate,199
takeout,49
veggie,215
wash,10
service,2093
needed,95
listed,17
tangy,25
legs,10
bitter,11
ranging,12
listen,14
showed,33
likely,32
feeling,79
idli,35
dozen,18
person,161
gripe,15
recommended,131
doors,18
thrilled,14
mouth,99
came,696
saying,70
bomb,21
tempted,10
gajar,11
busy,201
layout,11
quaint,17
menu,1035
than,884
theme,12
rick,11
rich,96
rice,1174
plate,234
chutney,216
nicely,87
dipping,57
fair,53
result,18
fail,18
best,1219
lots,157
score,14
yogurt,109
smelled,22
country,26
incense,11
planned,14
himalayan,20
pita,21
asked,391
and,19373
groupon,144
raita,79
much,802
fry,22
life,63
eastern,17
worker,12
worked,37
jamun,63
played,11
pakastani,10
upscale,37
things,361
split,37
fairly,83
boiled,12
tops,12
ownership,17
burgers,11
golden,13
lassi,304
previous,44
had,3734
easy,100
has,851
possible,34
possibly,33
unique,62
remind,13
right,460
old,174
crowd,39
people,536
begin,15
sure,463
okra,55
for,7047
bottom,37
continue,24
memorable,17
dollars,32
o,37
lacked,37
slightly,88
soo,17
son,34
support,16
constantly,27
happy,306
offer,202
inside,254
nicest,17
servings,20
later,110
floor,33
smell,49
roll,16
's,16
time,1437
chain,13
reviewers,32
poori,12
veg,112
cheap,159
choice,145
exact,17
minute,37
cooks,22
teas,10
leave,109
team,19
loads,19
cleanliness,25
reminiscent,12
snack,18
alone,58
along,114
brilliant,14
love,826
prefer,78
working,68
positive,36
opposed,10
wondering,14
everywhere,17
originally,12
following,30
awesome,373
allowed,12
buttered,16
spot,159
date,79
such,203
varieties,22
st,26
mango,486
so,3065
pulled,19
years,202
course,179
instantly,10
regarding,10
overpowering,12
arriving,10
thalis,13
square,18
cumin,20
entering,16
salads,15
container,29
contained,19
complimented,13
million,10
quite,471
vegetarians,73
saving,15
ignored,18
swagat,11
one,1659
open,173
city,89
bite,68
stuffed,92
bits,28
ridiculous,31
boyfriend,115
scrumptious,16
future,33
tasted,318
nicer,20
sag,18
locations,20
sad,48
tastes,123
saw,130
sat,86
hawaiian,27
aside,35
take,515
supply,10
wanting,41
opposite,14
knew,80
buffet,2339
average,123
drive,92
ways,14
salt,50
walking,66
lotus,12
bright,56
slow,163
going,483
dancing,44
krishna,18
worried,29
tiki,38
could've,15
tika,42
tortilla,14
where,313
arrival,13
americanized,15
anyways,30
mutton,12
uk,15
screen,19
shahi,23
deliciously,10
many,491
s,61
can't,395
west,54
vacation,17
combined,14
wants,21
chai,168
photos,18
undercooked,19
former,16
situation,16
ive,23
costs,29
hubby,29
summer,19
being,470
rest,110
weekly,20
cilantro,43
deceiving,10
starving,21
around,365
dark,80
traffic,11
preference,14
world,98
clay,15
seating,76
grub,19
pickles,17
divine,20
noon,15
favourite,49
noor,28
intimate,20
cozy,44
favorite,488
meal,692
luck,25
burning,10
fritters,11
lively,12
parties,26
her,238
hey,32
meals,108
complete,35
they're,105
rush,40
dirty,48
gone,96
ah,10
am,590
al,19
an,1393
as,2761
at,2482
watched,11
az,28
cream,126
aromatic,21
beverage,13
herbs,23
visits,39
having,214
original,37
consider,37
beware,18
attentive,260
tv,34
tt,11
to,11842
th,17
smile,34
large,232
sang,14
small,439
past,99
pass,36
situated,17
section,45
full,404
hours,92
riviera,53
experience,540
prior,15
healthier,11
social,19
action,10
would've,21
sweetness,20
via,20
followed,25
select,17
trips,18
gorgeous,13
more,1258
door,126
company,16
keeping,18
mall,86
knocked,10
beautiful,68
prompt,59
suggestions,44
accept,16
states,22
salty,56
sense,29
information,12
freshly,38
waitstaff,28
authentic,333
register,25
overcooked,40
patio,26
mexican,29
bowl,100
attitude,18
paper,41
signs,14
its,451
bummer,14
sauce,589
skipped,10
entire,58
sucked,11
everytime,26
always,728
courses,46
piping,35
found,355
really,1623
try,1166
missed,33
imagine,31
owners,92
w,60
major,33
number,81
guess,113
guest,13
immediate,10
mmmm,19
grace,13
refilling,11
tummy,20
sell,13
also,1313
shops,11
play,22
cover,18
lounge,10
failed,16
factor,12
loved,292
they'd,15
preparing,10
devoured,13
cry,10
set,102
flavours,35
sea,15
movie,18
compliment,22
knowing,32
improved,33
barely,41
connection,11
rose,25
whole,151
bell,31
firm,11
fire,25
what's,46
rogan,52
hostess,41
budget,19
hoping,31
beautifully,30
funny,33
decor,319
virtually,13
levels,35
cucumber,17
opinion,45
recent,40
canned,13
picky,36
soaked,15
aroma,14
attractive,13
dhal,12
eager,12
parents,23
location,223
crying,10
surprised,141
minerva,20
couple,265
quest,11
d,49
stylish,11
names,34
spring,14
sight,12
curious,11
be,2437
bf,47
bc,14
nowhere,12
chole,17
by,966
hamra,11
anything,230
deserves,18
into,331
servers,127
appropriate,14
tasting,70
spending,22
specifically,23
suit,10
chapati,13
elsewhere,35
relaxed,24
buttery,25
competition,18
line,112
posted,21
uv,10
up,1174
us,1111
paired,17
un,13
customers,133
punjabi,31
diverse,18
chat,48
chau,22
definitely,749
sides,39
ago,150
walked,102
fresh,588
hello,14
code,11
bhartha,11
enjoyable,38
seemed,246
concerned,23
young,32
send,15
sent,16
stocked,23
continues,12
mixing,13
continued,15
they've,34
odd,43
consistently,40
indian,4990
chickpeas,31
equivalent,11
led,11
punch,10
let,189
great,2308
receive,20
casino,40
makes,187
weekends,48
thats,27
standing,15
certificate,28
snacks,11
next,472
doubt,39
baby,24
customer,124
balls,33
this,4695
challenge,11
when,1295
thin,48
process,17
pieces,119
high,175
woodlands,37
establishment,53
oz,12
blocks,12
tomato,91
realized,23
counter,67
prawns,26
allow,13
classy,30
wife's,15
perfect,291
accompaniments,11
mediocre,73
realize,27
coriander,15
delightful,36
accompanied,34
glasses,78
doing,87
ambiance,152
',13
shut,10
tempe,36
surely,12
craving,154
chilli,80
papadum,40
could,654
pudding,132
scare,10
blown,23
blew,17
owned,28
lol,32
owner,317
start,145
ordering,164
system,19
decorations,11
stomach,47
lot,443
accompaniment,13
bother,34
steep,23
dosai,49
tonight,75
dosas,90
clearly,68
baingan,15
face,48
you'll,92
fact,145
atmosphere,333
bring,177
should,252
hope,95
meant,29
move,20
handle,32
means,75
familiar,50
lucky,32
styrofoam,28
stuff,152
guessing,12
btw,12
packed,86
ends,15
restrictions,12
figured,32
invited,12
etc,89
co,38
poured,10
waste,31
manchurian,60
insanely,11
site,13
ball,12
drink,211
upon,73
pleasantly,65
off,608
less,213
generous,81
wee,20
naans,57
eateries,10
checking,42
thicker,11
five,89
desi,11
crisp,44
chairs,18
become,33
edinburgh,180
almonds,10
choosing,15
literally,54
avoid,58
does,141
passion,11
sister,17
puts,10
seeds,16
tiny,50
spots,21
dosa,291
delivery,59
places,381
smooth,15
placed,41
problem,92
sambar,69
compared,65
variety,285
lately,14
details,21
repeat,28
monday,27
chance,86
ghost,14
saved,12
chili,132
worth,368
lack,75
we'll,69
chef,96
kebabish,10
above,82
told,227
textures,14
daughter,29
items,388
smoky,15
highly,203
thursday,25
massala,14
indians,57
negative,36
haha,24
aware,23
word,57
work,147
india,528
veggies,87
provide,22
nuts,41
disappoint,41
ordinary,12
pizza,35
after,741
las,293
chilled,10
appreciate,45
greet,12
green,96
waitress,125
fan,184
order,881
office,23
satisfied,61
somewhere,58
savory,36
vegeterian,10
then,510
them,638
safe,29
scene,13
break,34
bang,11
they,3498
bread,427
karahi,34
reasonably,99
l,20
rocks,21
reasonable,194
prawn,21
hooked,20
palak,87
leftovers,77
standard,102
created,11
chopped,18
another,335
thick,65
rated,17
opportunity,15
plentiful,23
airy,11
jalfrezi,15
happily,27
bindi,13
seated,143
minus,13
flavorful,301
manner,14
accompany,10
genuine,13
convenient,21
latter,11
henna,11
gravy,31
nann,12
bhuna,16
sun,10
subtle,15
enjoyed,307
cashews,17
adequate,12
panner,11
personality,10
do,644
preferred,21
understaffed,12
nasty,13
learned,18
runs,10
steak,11
steal,18
lemonade,14
away,360
gentleman,21
we,5626
terms,33
handful,14
kitchen,187
cor,13
ill,12
